outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	LRP8	Wald ratio	1	0.0697717888574107	0.137491793873578	0.611831059270885	0.964911715009576	1.0722634508629	1.40390228394199	0.818966477373382
I35.0 and I35.2 UKB	RGMA	Wald ratio	1	-0.0276314283491446	0.102066625269359	0.786606758329506	0.980850561285113	0.972746827642065	1.18817576125156	0.796377456556584
I35.0 and I35.2 UKB	HP	Wald ratio	1	0.0260198498163285	0.0298306105090953	0.383070183267886	0.915338819823354	1.02636132135496	1.08815961911029	0.968072646212322
I35.0 and I35.2 UKB	TIMP2	Wald ratio	1	-0.109454974091538	0.0760125327355669	0.149878837336948	0.828615857848553	0.896322521189342	1.04032128160925	0.77225572156754
I35.0 and I35.2 UKB	FGFR3	Wald ratio	1	-0.125712680032987	0.129611254803335	0.33208586328633	0.91471337431893	0.881868188725469	1.13692287378112	0.684031890131236
I35.0 and I35.2 UKB	SMOC1	Wald ratio	1	-0.0121922942166154	0.0756739827193263	0.872001988567097	0.980850561285113	0.987881730652771	1.1458293659939	0.851706495505115
I35.0 and I35.2 UKB	NOG	Wald ratio	1	-0.0335199008821206	0.0796018479175505	0.67368607271216	0.967408200889076	0.967035666177108	1.13031880475603	0.827340017456802
I35.0 and I35.2 UKB	MANBA	Wald ratio	1	0.00318587619408195	0.0385519121359037	0.934138904817845	0.982977971126859	1.00319095649128	1.08193123411305	0.930181201405936
I35.0 and I35.2 UKB	CPM	Wald ratio	1	-0.00767460183019091	0.121512696831075	0.94964001464026	0.982977971126859	0.992354772732376	1.25921723261961	0.78204774319683
I35.0 and I35.2 UKB	PROK2	Wald ratio	1	0.0239208620271023	0.0269246407749368	0.374305431516637	0.915338819823354	1.02420926083859	1.07971072490234	0.971560794751226
I35.0 and I35.2 UKB	AFP	Wald ratio	1	0.257123268670146	0.128936836475368	0.0461323801383222	0.609044040238475	1.29320452853699	1.66502388414586	1.0044167945894
I35.0 and I35.2 UKB	FCN3	Wald ratio	1	0.161658116605006	0.0511591406351279	0.00157819611221302	0.162296683556203	1.1754583029416	1.29943562066179	1.06330948604492
I35.0 and I35.2 UKB	MPO	Wald ratio	1	-0.0240688941057038	0.0792551014761754	0.761364919999073	0.980031146911782	0.976218451743891	1.14027687393156	0.835764091434547
I35.0 and I35.2 UKB	SAA1	Wald ratio	1	0.0790977490376891	0.0503519130665403	0.116206207113003	0.776525462042677	1.08231011167171	1.19457144621411	0.980598675398839
I35.0 and I35.2 UKB	FGL1	Wald ratio	1	0.00796545441876567	0.0495081876248038	0.872178732226899	0.980850561285113	1.00799726305146	1.11071227882576	0.91478099386225
I35.0 and I35.2 UKB	ADAMTS5	Wald ratio	1	0.0205681782774663	0.0259293815522762	0.427639002919259	0.933440501624767	1.02078116097204	1.07399975301574	0.970199644524631
I35.0 and I35.2 UKB	MSMB	Wald ratio	1	0.0250558887157279	0.0212610612720223	0.238602429507292	0.85896874622625	1.02537242567107	1.06900420841112	0.98352148948906
I35.0 and I35.2 UKB	ADIPOQ	Wald ratio	1	0.0657326464978639	0.151799854350982	0.664998930936806	0.967189539621898	1.06794116118598	1.43801021231959	0.79310863996965
I35.0 and I35.2 UKB	LYVE1	Wald ratio	1	0.176238909572107	0.139378577118808	0.206064263981843	0.853276546400775	1.1927229775506	1.56740427130929	0.907607646104499
I35.0 and I35.2 UKB	SFRP4	Wald ratio	1	-0.0121204850210124	0.101747370581023	0.905177652205162	0.980850561285113	0.987952672192297	1.20599428720697	0.809332592074208
I35.0 and I35.2 UKB	TNFRSF11A	Wald ratio	1	0.0133128779468616	0.105967735793449	0.900023684272407	0.980850561285113	1.01340188886504	1.24733545494715	0.823341775688355
I35.0 and I35.2 UKB	PPP3CA;PPP3R1	Wald ratio	1	-0.0708842289970961	0.0592560842889994	0.231604688296704	0.85896874622625	0.931569734647408	1.04629745205803	0.829422043228787
I35.0 and I35.2 UKB	DEFB1	Wald ratio	1	-0.091493133604329	0.0544183881777689	0.0927064503873609	0.759211749375896	0.912567582180594	1.01528250845979	0.820244203074361
I35.0 and I35.2 UKB	MAN2B2	Wald ratio	1	-0.0969975346891465	0.0610635814614916	0.112180590107062	0.776525462042677	0.907558243543703	1.02294639416456	0.805185853455023
I35.0 and I35.2 UKB	SERPINA3	Wald ratio	1	0.0877153464792605	0.0622216803640039	0.158621430929721	0.844105320445272	1.09167732800106	1.233270816031	0.966340379566382
I35.0 and I35.2 UKB	CEL	Wald ratio	1	0.124120585519933	0.0853729320659508	0.145984168018539	0.82801551629949	1.13215238395213	1.33836876435529	0.957709903746844
I35.0 and I35.2 UKB	IDO1	Wald ratio	1	0.0496643634907259	0.0889566993805311	0.576640786551446	0.961457976486211	1.05091831062214	1.25109540839054	0.882769841687508
I35.0 and I35.2 UKB	VEGFA	Wald ratio	1	-0.00919288743042476	0.0292201414508057	0.753059377856641	0.980031146911782	0.990849237975696	1.04925311269035	0.935696259103455
I35.0 and I35.2 UKB	CBR1	Wald ratio	1	-0.00724342071808691	0.060619197471113	0.90488673330931	0.980850561285113	0.992782749628031	1.11803223418497	0.881564554064487
I35.0 and I35.2 UKB	CXCL6	Wald ratio	1	0.0379615664827727	0.0239150118428517	0.112432711233731	0.776525462042677	1.03869131155093	1.0885374319841	0.991127736163274
I35.0 and I35.2 UKB	CA13	Wald ratio	1	0.00573254515808735	0.0549395066923828	0.916897267564679	0.981574668181274	1.00574900763735	1.12009553219839	0.903075708531937
I35.0 and I35.2 UKB	POGLUT1	Wald ratio	1	-0.038656453757604	0.105388068053908	0.713767426218875	0.979575966467969	0.962081171749958	1.18282324299574	0.782534657242192
I35.0 and I35.2 UKB	F10	Wald ratio	1	-0.206171971266546	0.0828715391269425	0.0128517870439258	0.423380913481788	0.813693132411543	0.957199203964268	0.691701905926809
I35.0 and I35.2 UKB	RARRES1	Wald ratio	1	-0.0130656372211941	0.0212129765147324	0.537942942279508	0.946163957487058	0.987019347686834	1.0289221486979	0.946823036068374
I35.0 and I35.2 UKB	INPP5B	Wald ratio	1	0.0191856396528282	0.054256454516293	0.723630975002655	0.979575966467969	1.01937086670747	1.1337472427886	0.916533178361781
I35.0 and I35.2 UKB	MTHFS	Wald ratio	1	0.156910859988624	0.100536046063662	0.118584565889275	0.776525462042677	1.1698913251268	1.42470034909763	0.960655139499197
I35.0 and I35.2 UKB	PTN	Wald ratio	1	0.184226339559265	0.0943720673982931	0.0509230293344788	0.656907078414777	1.20228791761965	1.44657051313433	0.999257363349808
I35.0 and I35.2 UKB	FAS	Wald ratio	1	-0.0662836162275194	0.0608593176106604	0.276097231270514	0.886718908727708	0.935865400034189	1.05443032658625	0.830632451379431
