outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	FABP4	Wald ratio	1	-0.155371471334587	0.236545645542996	0.511286983363849	0.946287964679687	0.85609710287613	1.36105208682103	0.538482146752167
I35.0 and I35.2 UKB	FGFR2	Wald ratio	1	0.0622883749956151	0.18120837106121	0.731042617053034	0.9822509460964	1.06426920910841	1.51809579383508	0.746111644637945
I35.0 and I35.2 UKB	EDAR	Wald ratio	1	-0.0592235291897929	0.0550942500867553	0.28239739851625	0.889416407321712	0.942496070226336	1.04996958909176	0.846023400697234
I35.0 and I35.2 UKB	OSCAR	Wald ratio	1	0.0824978162730646	0.0399141680683534	0.0387454141559918	0.58801014176025	1.08599630191709	1.17436736012998	1.00427515939055
I35.0 and I35.2 UKB	TNFRSF6B	Wald ratio	1	-0.0897571647434894	0.0698174101522213	0.198583185617457	0.855327224845981	0.914153146934005	1.04821106042255	0.797240181488324
I35.0 and I35.2 UKB	CXCL12	Wald ratio	1	0.0145790164251334	0.112107511642381	0.89653085887379	0.9822509460964	1.01468580862907	1.26403595312001	0.814523738578725
I35.0 and I35.2 UKB	CD300C	Wald ratio	1	0.0391578250838905	0.0514226228035748	0.446364309668539	0.94174119329539	1.03993459846434	1.15021187643	0.940230223008841
I35.0 and I35.2 UKB	CTSO	Wald ratio	1	-0.0226675481622548	0.116623967000046	0.845890557711561	0.9822509460964	0.977587430493541	1.22864928923878	0.777827483098179
I35.0 and I35.2 UKB	BIN2	Wald ratio	1	0.33292472102845	0.183421601609096	0.0695117499539932	0.710394807222128	1.39504227716901	1.99856827195067	0.97376856342736
I35.0 and I35.2 UKB	PLIN3	Wald ratio	1	0.140229793593054	0.311347600877309	0.652424744474776	0.9822509460964	1.15053815477895	2.11799755187588	0.62499507821892
I35.0 and I35.2 UKB	RSPO1	Wald ratio	1	-0.106493831987331	0.0935659953672694	0.255050292613777	0.875376334136942	0.898980593067818	1.07992923833836	0.748350982658882
I35.0 and I35.2 UKB	GPNMB	Wald ratio	1	-0.0233108229738004	0.0613938033379414	0.704173007323202	0.9822509460964	0.976958775344111	1.1018835477167	0.866197204504644
I35.0 and I35.2 UKB	CEACAM5	Wald ratio	1	-0.0265246042657957	0.0524468982291279	0.613037711995643	0.975255634190281	0.973824083314187	1.07925535396731	0.878692277741941
I35.0 and I35.2 UKB	MARCO	Wald ratio	1	-0.012047072130745	0.0797254318594125	0.879891297857009	0.9822509460964	0.988025203315738	1.15513217460489	0.845092729514709
I35.0 and I35.2 UKB	SIRT2	Wald ratio	1	0.0558618115257123	0.149762580883384	0.709146610876814	0.9822509460964	1.05745154602379	1.4182113572313	0.788460596149167
I35.0 and I35.2 UKB	THOP1	Wald ratio	1	0.0781752755528313	0.0849710535459711	0.357561035648942	0.92483421294759	1.0813121696496	1.27726176515411	0.915423948427077
I35.0 and I35.2 UKB	SDC1	Wald ratio	1	-0.0365095962573062	0.158103764369765	0.817375601605516	0.9822509460964	0.964148841631565	1.31439144876028	0.707234507418822
I35.0 and I35.2 UKB	GUSB	Wald ratio	1	-0.324722823761912	0.153403014239411	0.0342771999534295	0.58801014176025	0.722727648813119	0.976234050133951	0.535051255677129
I35.0 and I35.2 UKB	WASF1	Wald ratio	1	0.0227670926101585	0.0721292815528012	0.752273603087797	0.9822509460964	1.02302824096021	1.17837984751415	0.888157400188029
